movie,genre
Avatar,Action Sci-Fi
Avengers,Action Superhero
Iron Man,Action Superhero
Thor,Action Superhero
Captain America,Action Superhero
Black Panther,Action Superhero
Doctor Strange,Action Fantasy
Guardians of the Galaxy,Action Sci-Fi
Star Wars,Sci-Fi Adventure
Star Trek,Sci-Fi Adventure
Interstellar,Sci-Fi Adventure
Inception,Sci-Fi Thriller
The Matrix,Sci-Fi Action
Titanic,Romance Drama
The Notebook,Romance Drama
La La Land,Romance Musical
Frozen,Animation Family
Toy Story,Animation Family
Finding Nemo,Animation Family
The Lion King,Animation Adventure
